row_index,confidence,Mfg_Part_Num,Part_Desc,BRAND_NAME,MANUFACTURER_NAME,Classpath,SHORT_DESC,INVOICE_DESC,invoice_chars,MOBILE_DESC,mobile_chars,review_reasons
628,0.282,C7CEBBS4RW3,C7CEBBS4RW3 Café Auto Espresso Machine Wh,,,,"C7CEBBS4RW3 Espresso Machine White, White",ESPRESSO MACHINE WHT WHT,24,"Espresso Machine White, C7CEBBS4RW3, White",42,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 42 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
629,0.282,C7CESAS2RS3,C7CESAS2RS3 Café Espresso SS,,,,"C7CESAS2RS3 Caf Espresso Stainless Steel, Stainless Steel",CAF ESPRESSO SST SST,20,"Caf Espresso Stainless Steel, C7CESAS2RS3, Stainless Steel",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
631,0.282,C7CESAS4RW3,C7CESAS4RW3 Cafe Espresso Wh,,,,"C7CESAS4RW3 Cafe Espresso White, White",CAFE ESPRESSO WHT WHT,21,"Cafe Espresso White, C7CESAS4RW3, White",39,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 39 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
651,0.282,WMMS3330RZ,WMMS3330RZ OTR Mocrowave SS - Display Only,,,,"WMMS3330RZ OTR Mocrowave Stainless Steel, Stainless Steel",OTR MOCROWAVE SST SST,21,"OTR Mocrowave Stainless Steel, WMMS3330RZ, Stainless Steel",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
656,0.282,C90AAAS2RS3,C90AAAS2RS3 Cafe Toast Oven SS,,,,"C90AAAS2RS3 Toast Oven Stainless Steel, Stainless Steel",TOAST OVEN SST SST,18,"Toast Oven Stainless Steel, C90AAAS2RS3, Stainless Steel",56,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 56 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
657,0.282,C9TMA2SP2PS3,C9TMA2S2PS3 Cafe Toaster SS,,,,"C9TMA2SP2PS3 Cafe Toaster Stainless Steel, Stainless Steel",CAFE TOASTER SST SST,20,"Cafe Toaster Stainless Steel, C9TMA2SP2PS3, Stainless Steel",59,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 59 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
7,0.282,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,"5B-332-080 HIOLIT, 5 in Width",HIOLIT 5IN,10,"HIOLIT, 5B-332-080, 5 in Width",30,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 30 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
8,0.282,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,"5B-332-120 HIOLIT, 5 in Width",HIOLIT 5IN,10,"HIOLIT, 5B-332-120, 5 in Width",30,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 30 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
589,0.282,HOM2040M200PRB,HOM2040M200PRB 200A Load Cntr,,,,HOM2040M200PRB Load Cntr,LOAD CNTR 200A,14,"Load Cntr, HOM2040M200PRB, 200 A",32,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 32 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
600,0.282,CG50K,"CG50K 1/2"" Cord Grip Kit",,,,"CG50K Cord Grip, 1/2 in Width",CORD GRIP 1/2IN,15,"Cord Grip, CG50K, 1/2 in Width",30,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 30 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
673,0.282,603150,"603150 2-1/2"" Finish Nail 15GA - 4M",,,,"603150 Finish Nail GA, 2-1/2 in Width",FINISH NAIL GA 2-1/2IN,22,"Finish Nail GA, 603150, 2-1/2 in Width",38,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 38 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
767,0.282,37300952,"095842 Fisch Plug Cutter 3/8""",,,,"37300952 Fisch Plug Cutter, 3/8 in Width",FISCH PLUG CUTTER 3/8IN,23,"Fisch Plug Cutter, 37300952, 3/8 in Width",41,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 41 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
774,0.282,25762,25762 Mason Line Brd Pink - 1000',,,,"25762 Line Brd Pink, 1000 ft Length",LINE BRD PINK 1000FT,20,"Line Brd Pink, 25762, 1000 ft Length",36,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 36 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
888,0.282,924422,924422 Mafell Carpentry - Planing Machine ZH 320 Ec 120V,,,,924422 Machine ZH Ec,MACHINE ZH EC 120V,18,"Machine ZH Ec, 924422, 120 V",28,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 28 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
949,0.282,XT524,"XT524 24"" XT XTENDER Fence",,,,"XT524 XT XTENDER Fence, 24 in Width",XT XTENDER FENCE 24IN,21,"XT XTENDER Fence, XT524, 24 in Width",36,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 36 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
950,0.282,XT536,"XT536 36"" XT XTENDER Fence",,,,"XT536 XT XTENDER Fence, 36 in Width",XT XTENDER FENCE 36IN,21,"XT XTENDER Fence, XT536, 36 in Width",36,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 36 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
951,0.282,XT546,"XT546 46"" XT XTENDER Fence",,,,"XT546 XT XTENDER Fence, 46 in Width",XT XTENDER FENCE 46IN,21,"XT XTENDER Fence, XT546, 46 in Width",36,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 36 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
952,0.282,XTP235,"35"" XTP XTENDER PRO Fence - XTP235",,,,"XTP235 PRO Fence XTP, 35 in Width",PRO FENCE XTP 35IN,18,"PRO Fence XTP, XTP235, 35 in Width",34,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 34 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
957,0.282,TGI2-T36A,"TGI2-T36A 36"" Table Assembly Industrial",,,,"TGI2-T36A Table Assembly Industrial, 36 in Width",TABLE ASY IND 36IN,18,"Table Assembly Industrial, TGI2-T36A, 36 in Width",49,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 49 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
990,0.282,XTP242,"42"" XTP XTENDER PRO Fence - XTP242",,,,"XTP242 PRO Fence XTP, 42 in Width",PRO FENCE XTP 42IN,18,"PRO Fence XTP, XTP242, 42 in Width",34,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 34 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
993,0.282,4225.201,"4225.201 Oliver 6"" HH Jointer Paralleogram",,,,"4225.201 HH Jointer Paralleogram, 6 in Width",HH JOINTER PARALLEOGRAM 6IN,27,"HH Jointer Paralleogram, 4225.201, 6 in Width",45,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 45 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
994,0.282,KC-426C,"KC-426C 12"" Portable Planer",,,,"KC-426C Portable Planer, 12 in Width",PORTABLE PLANER 12IN,20,"Portable Planer, KC-426C, 12 in Width",37,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 37 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
756,0.283,25459,25459 Mason Line Brd Orange - 500',,,,"25459 Line Brd Orange, Orange, 500 ft Length",LINE BRD ORANGE ORANGE 500FT,28,"Line Brd Orange, 25459, Orange, 500 ft Length",45,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 45 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
757,0.283,35459,35459 Mason Line Brd Orange - 500' Replacement,,,,"35459 Brd Orange Replacement, Orange, 500 ft Length",BRD ORANGE REPL ORANGE 500FT,28,"Brd Orange Replacement, 35459, Orange, 500 ft Length",52,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 52 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
758,0.283,25759,25759 Mason Line Brd Orange - 1000',,,,"25759 Line Brd Orange, Orange, 1000 ft Length",LINE BRD ORANGE ORANGE 1000FT,29,"Line Brd Orange, 25759, Orange, 1000 ft Length",46,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 46 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
759,0.283,35112,35112 Mason Line Twist Yellow - 270',,,,"35112 Line Twist Yellow, Yellow, 270 ft Length",LINE TWIST YELLOW YELLOW 270FT,30,"Line Twist Yellow, 35112, Yellow, 270 ft Length",47,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 47 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
760,0.283,35115,35115 Mason Line Twist Green - 270',,,,"35115 Line Twist Green, Green, 270 ft Length",LINE TWIST GREEN GREEN 270FT,28,"Line Twist Green, 35115, Green, 270 ft Length",45,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 45 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
762,0.283,35468,35468 Mason Line Brd Green - 500' Replacement,,,,"35468 Brd Green Replacement, Green, 500 ft Length",BRD GREEN REPL GREEN 500FT,26,"Brd Green Replacement, 35468, Green, 500 ft Length",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
773,0.283,25468,25468 Mason Line Brd Green - 500',,,,"25468 Line Brd Green, Green, 500 ft Length",LINE BRD GREEN GREEN 500FT,26,"Line Brd Green, 25468, Green, 500 ft Length",43,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 43 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
70,0.284,D519127,D519127 Heater Kit,,,,D519127 Heater,HEATER,6,"Heater, D519127",15,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 15 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
93,0.284,05134545001,9516 Kneeling Pad& Bttl Opener,,,,05134545001 Pad Bttl Opener,PAD BTTL OPENER,15,"Pad Bttl Opener, 05134545001",28,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 28 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
94,0.284,LNL65301,LNL65301 Digital Tire Pressure - Inflator Gauge,,,,LNL65301 Pressure Inflator Gauge,PRESSURE INFLATOR GAUGE,23,"Pressure Inflator Gauge, LNL65301",33,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 33 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
586,0.284,NEB-FLT-0053,NEBFLT0053 2600L Flash Light,,,,NEB-FLT-0053 NEBFLT Flash Light,NEBFLT FLASH LIGHT,18,"NEBFLT Flash Light, NEB-FLT-0053",32,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 32 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
594,0.284,96263-46-06,96263-46-06 CAT5E Wire (Linear Foot),,,,96263-46-06 CAT Wire,CAT WIRE,8,"CAT Wire, 96263-46-06",21,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 21 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
597,0.284,23346-0408,23346-0408 Wire 16/3 SJEWA 250 (Linear Foot),,,,23346-0408 Wire SJEWA,WIRE SJEWA,10,"Wire SJEWA, 23346-0408",22,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 22 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
622,0.284,C7CDAAS3PD3,C7CDAAS3PD3 Café Drip Coffee Maker MB,,,,C7CDAAS3PD3 Coffee Maker MB,COFFEE MAKER MB,15,"Coffee Maker MB, C7CDAAS3PD3",28,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 28 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
624,0.284,C7CDABS2RS3,C7CDABS2RS3 Cafe Coffee Maker,,,,C7CDABS2RS3 Cafe Coffee Maker,CAFE COFFEE MAKER,17,"Cafe Coffee Maker, C7CDABS2RS3",30,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 30 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
625,0.284,C7CDABS3RD3,C7CDABS3RD3 Café Coffee Maker MB,,,,C7CDABS3RD3 Coffee Maker MB,COFFEE MAKER MB,15,"Coffee Maker MB, C7CDABS3RD3",28,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 28 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
630,0.284,C7CESAS3RD3,C7CESAS3RD3 Café Espresso Machine MB,,,,C7CESAS3RD3 Espresso Machine MB,ESPRESSO MACHINE MB,19,"Espresso Machine MB, C7CESAS3RD3",32,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 32 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
654,0.284,C9TMA2S3PD3,C9TMA2S3PD3 Café Toaster MB,,,,C9TMA2S3PD3 Caf Toaster MB,CAF TOASTER MB,14,"Caf Toaster MB, C9TMA2S3PD3",27,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 27 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
671,0.284,TP-1935,TP-1935 Hole Drilling System,,,,TP-1935 Hole Drilling System,HOLE DRILLING SYSTEM,20,"Hole Drilling System, TP-1935",29,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 29 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
686,0.284,HS-DA,HS-DA Motion Driveway Alert,,,,HS-DA Motion Driveway Alert,MOTION DRIVEWAY ALERT,21,"Motion Driveway Alert, HS-DA",28,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 28 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
712,0.284,FE-EFX-6L,FEEFX6L Lith Fire Extinguisher,,,,FE-EFX-6L Lith Fire Extinguisher,LITH FIRE EXTINGUISHER,22,"Lith Fire Extinguisher, FE-EFX-6L",33,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 33 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
713,0.284,FE-EFX-9L,FEEFX9L Lith Fire Extinguisher,,,,FE-EFX-9L Lith Fire Extinguisher,LITH FIRE EXTINGUISHER,22,"Lith Fire Extinguisher, FE-EFX-9L",33,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 33 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
749,0.284,GCL165-42GL,GCL165--42GL Cross Line Laser,,,,GCL165-42GL Cross Line Laser,CROSS LINE LASER,16,"Cross Line Laser, GCL165-42GL",29,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 29 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
777,0.284,133164,133164 950/9 Hex Plus Spks - Multicolor,,,,133164 Plus Spks Multicolor,PLUS SPKS MULTICOLOR,20,"Plus Spks Multicolor, 133164",28,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 28 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
815,0.284,58006,58006 Voyager Drill Press,,,,58006 Voyager Drill Press,VOYAGER DRILL PRESS,19,"Voyager Drill Press, 58006",26,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 26 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
818,0.284,918200,918200 Paslode CT200S24 18Ga ST Brad Nailer,,,,918200 ST Brad Nailer,ST BRAD NAILER,14,"ST Brad Nailer, 918200",22,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 22 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
953,0.284,TGP2-FA,TGP2-FA T-Glide Fence Professional,,,,TGP2-FA T-Glide Fence Professional,T-GLIDE FENCE PRO,17,"T-Glide Fence Professional, TGP2-FA",35,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 35 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
954,0.284,ATGI-FA,ATGI-FA T-Glide Advanced Fence Industrial,,,,ATGI-FA Advanced Fence Industrial,ADVANCED FENCE IND,18,"Advanced Fence Industrial, ATGI-FA",34,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 34 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
955,0.284,ATGP-FA,ATGP-FA T-Glide Advance Fence Professional,,,,ATGP-FA Advance Fence Professional,ADVANCE FENCE PRO,17,"Advance Fence Professional, ATGP-FA",35,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 35 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
